model_key,model_id,backend,format,size_gb,overall_acc,strict_acc,strict_ci,format_ok_rate,sentiment_acc,topic_acc,spam_acc,easy_acc,hard_acc,avg_inference_s,load_s,seeds,seed_std_acc,dataset_sha_at_run,run_id,run_date,overall_ci_lo,overall_ci_hi,hard_ci_lo,hard_ci_hi
gemma3-12b-qat,mlx-community/gemma-3-12b-it-qat-4bit,mlx-lm,json,8.0,92.8,92.8,"[86.9, 96.2]",100.0,93.9,88.9,96.8,97.4,85.1,2.236,4.0,1,,2c34076d55d3,20260528-161357_gemma3-12b-qat,2026-05-28,86.9,96.2,72.3,92.6
llama-3.2-3b,mlx-community/Llama-3.2-3B-Instruct-4bit,mlx-lm,json,1.8,92.0,92.0,"[85.9, 95.6]",100.0,97.0,83.3,93.5,97.4,83.0,0.738,1.4,1,,2c34076d55d3,20260528-165614_llama-3.2-3b,2026-05-28,85.9,95.6,69.9,91.1
gemma4-e4b,mlx-community/gemma-4-e4b-it-4bit,mlx-vlm,json,5.2,90.4,90.4,"[84.0, 94.4]",100.0,90.9,91.7,83.9,98.7,76.6,0.82,3.4,1,,2c34076d55d3,20260528-161209_gemma4-e4b,2026-05-28,84.0,94.4,62.8,86.4
ministral-3-8b,mlx-community/Ministral-3-8B-Instruct-2512-4bit,mlx-lm,json,5.6,90.4,90.4,"[84.0, 94.4]",100.0,97.0,86.1,87.1,97.4,78.7,4.213,2.4,1,,2c34076d55d3,20260528-165749_ministral-3-8b,2026-05-28,84.0,94.4,65.1,88.0
llama-3.1-8b,mlx-community/Llama-3.1-8B-Instruct-4bit,mlx-lm,json,4.2,89.6,89.6,"[83.0, 93.8]",100.0,93.9,83.3,90.3,97.4,76.6,1.632,2.3,1,,2c34076d55d3,20260528-175652_llama-3.1-8b,2026-05-28,83.0,93.8,62.8,86.4
qwen3-8b,mlx-community/Qwen3-8B-4bit,mlx-lm,json,5.0,89.6,89.6,"[83.0, 93.8]",100.0,97.0,83.3,83.9,97.4,76.6,1.248,2.0,1,,2c34076d55d3,20260528-160649_qwen3-8b,2026-05-28,83.0,93.8,62.8,86.4
gemma3-4b-qat,mlx-community/gemma-3-4b-it-qat-4bit,mlx-lm,json,2.6,85.6,85.6,"[78.4, 90.7]",99.2,93.9,80.6,80.6,94.9,70.2,0.892,2.0,1,,2c34076d55d3,20260528-161841_gemma3-4b-qat,2026-05-28,78.4,90.7,56.0,81.3
phi4-mini-instruct,mlx-community/Phi-4-mini-instruct-4bit,mlx-lm,json,2.2,84.8,84.8,"[77.5, 90.0]",100.0,90.9,80.6,90.3,93.6,70.2,0.965,1.4,1,,2c34076d55d3,20260528-170639_phi4-mini-instruct,2026-05-28,77.5,90.0,56.0,81.3
qwen2.5-coder-7b,mlx-community/Qwen2.5-Coder-7B-Instruct-4bit,mlx-lm,json,4.7,84.8,84.8,"[77.5, 90.0]",100.0,87.9,80.6,90.3,96.2,66.0,1.264,1.8,1,,2c34076d55d3,20260528-160928_qwen2.5-coder-7b,2026-05-28,77.5,90.0,51.7,77.8
mistral-nemo-minitron-8b,mlx-community/Mistral-NeMo-Minitron-8B-Instruct-4bit,mlx-lm,json,4.4,80.8,80.8,"[73.0, 86.7]",100.0,97.0,77.8,93.5,89.7,66.0,12.177,2.2,1,,2c34076d55d3,20260528-173127_mistral-nemo-minitron-8b,2026-05-28,73.0,86.7,51.7,77.8
smollm3-3b,mlx-community/SmolLM3-3B-4bit,mlx-lm,json,1.8,79.2,79.2,"[71.3, 85.4]",97.6,84.8,58.3,90.3,88.5,63.8,0.858,1.4,1,,2c34076d55d3,20260528-163317_smollm3-3b,2026-05-28,71.3,85.4,49.5,76.0
nemotron-nano-9b,mlx-community/NVIDIA-Nemotron-Nano-9B-v2-4bits,mlx-lm,json,5.0,78.4,74.4,"[66.1, 81.2]",96.0,87.9,83.3,93.5,85.9,66.0,10.129,2.4,1,,2c34076d55d3,20260528-170842_nemotron-nano-9b,2026-05-28,70.4,84.7,51.7,77.8
hermes-3-llama-3.2-3b,mlx-community/Hermes-3-Llama-3.2-3B-4bit,mlx-lm,json,1.7,74.4,27.2,"[20.2, 35.6]",42.4,84.8,72.2,83.9,87.2,53.2,0.746,1.4,1,,2c34076d55d3,20260528-172951_hermes-3-llama-3.2-3b,2026-05-28,66.1,81.2,39.2,66.7
deepseek-r1-distill-7b,mlx-community/DeepSeek-R1-Distill-Qwen-7B-4bit,mlx-lm,json,4.5,59.2,35.2,"[27.4, 43.9]",50.4,69.7,55.6,67.7,64.1,51.1,10.056,10.4,1,,2c34076d55d3,20260528-163506_deepseek-r1-distill-7b,2026-05-28,50.4,67.4,37.2,64.7
phi4-mini-reasoning,lmstudio-community/Phi-4-mini-reasoning-MLX-4bit,mlx-lm,json,2.2,48.0,27.2,"[20.2, 35.6]",41.6,69.7,33.3,54.8,52.6,40.4,6.071,1.5,1,,2c34076d55d3,20260528-162036_phi4-mini-reasoning,2026-05-28,39.4,56.7,27.6,54.7
